"日足・最新の選択","当日"," 8月26日","日足"
"市場","銘柄コード","銘柄名","始値","高値","安値","終値","出来高","","","","","","","","","","","","","","",""
"","","","実","実","実","実","        実","","","","","","","","","","","","","","",""
東１,1941,中電工,2228.0,2275.0,2200.0,2266.0,98100,,,,,,,,,,,,,,,
東１,1942,関電工,750.0,767.0,745.0,757.0,641000,,,,,,,,,,,,,,,
東１,1944,きんでん,1428.0,1473.0,1420.0,1466.0,613000,,,,,,,,,,,,,,,
東１,1945,東エネシス,849.0,910.0,832.0,895.0,265000,,,,,,,,,,,,,,,
東１,1946,トーエネク,790.0,802.0,783.0,794.0,189000,,,,,,,,,,,,,,,
東２,1948,弘電社,238.0,242.0,234.0,242.0,4000,,,,,,,,,,,,,,,
東１,1949,住電設,1560.0,1603.0,1557.0,1589.0,54900,,,,,,,,,,,,,,,
東１,1950,日本電,2072.0,2169.0,2032.0,2133.0,91500,,,,,,,,,,,,,,,
東１,1951,協エクシオ,1175.0,1218.0,1172.0,1212.0,690200,,,,,,,,,,,,,,,
東１,1952,日空調,934.0,949.0,900.0,942.0,36400,,,,,,,,,,,,,,,
東１,1954,日工営,448.0,464.0,444.0,463.0,320000,,,,,,,,,,,,,,,
東１,1956,ＮＤＳ,294.0,299.0,292.0,295.0,112000,,,,,,,,,,,,,,,
東１,1959,九電工,2204.0,2254.0,2170.0,2225.0,219000,,,,,,,,,,,,,,,
東２,1960,サンテック,544.0,544.0,543.0,544.0,10000,,,,,,,,,,,,,,,
東１,1961,三機工,888.0,910.0,870.0,877.0,126400,,,,,,,,,,,,,,,
東１,1963,日揮,1710.5,1768.0,1694.0,1747.5,3487000,,,,,,,,,,,,,,,
東１,1964,中外炉,215.0,224.0,215.0,220.0,154000,,,,,,,,,,,,,,,
東２,1965,テクノ菱和,610.0,648.0,610.0,648.0,6400,,,,,,,,,,,,,,,
東２,1966,高田工,619.0,650.0,616.0,640.0,30900,,,,,,,,,,,,,,,
東１,1967,ヤマト,382.0,408.0,382.0,407.0,31000,,,,,,,,,,,,,,,
東１,1968,太平電,1308.0,1349.0,1275.0,1312.0,221000,,,,,,,,,,,,,,,
東１,1969,高砂熱,1726.0,1816.0,1726.0,1804.0,692500,,,,,,,,,,,,,,,
東２,1971,ビルト工,112.0,119.0,112.0,119.0,137000,,,,,,,,,,,,,,,
東１,1972,三晃金,210.0,214.0,206.0,214.0,85000,,,,,,,,,,,,,,,
東１,1973,ＮＥＳＩＣ,2110.0,2182.0,2101.0,2151.0,125100,,,,,,,,,,,,,,,
東１,1975,朝日工,430.0,437.0,417.0,435.0,47000,,,,,,,,,,,,,,,
東１,1976,明星工,496.0,509.0,495.0,505.0,265500,,,,,,,,,,,,,,,
東１,1979,大気社,2517.0,2604.0,2501.0,2587.0,91300,,,,,,,,,,,,,,,
東１,1980,ダイダン,751.0,757.0,725.0,757.0,72000,,,,,,,,,,,,,,,
東１,1982,日比谷,1372.0,1407.0,1371.0,1397.0,32600,,,,,,,,,,,,,,,
東１,1983,東芝プラ,1160.0,1192.0,1143.0,1186.0,479600,,,,,,,,,,,,,,,
